,hood_id,number of bike shops,latitude,longtitude,bike_thefts,average_bicycle_cost,score,neighborhood
0,63,2,43.678605,-79.29854499999999,318,2928.1190476190477,465570.93,The Beaches (63)
1,93,3,43.659445,-79.438373,645,986.1574803149606,212023.86,Dovercourt-Wallace Emerson-Junction (93)
2,108,1,43.700106,-79.455196,75,1089.7575757575758,81731.82,Briar Hill-Belgravia (108)
3,98,1,43.679665,-79.39044,435,2170.2190476190476,944045.29,Rosedale-Moore Park (98)
4,95,2,43.665978,-79.408041,947,1608.2346368715084,761499.1,Annex (95)
5,89,1,43.665395000000004,-79.49128499999999,107,986.4736842105264,105552.68,Runnymede-Bloor West Village (89)
6,55,2,43.712478999999995,-79.35995600000001,66,866.7894736842105,28604.05,Thorncliffe Park (55)
7,99,2,43.716364,-79.400132,152,1393.173076923077,105881.15,Mount Pleasant East (99)
8,127,1,43.772943,-79.254122,66,890.5,58773.0,Bendale (127)
9,69,1,43.67908,-79.34343,94,1081.65,101675.1,Blake-Jones (69)
10,65,1,43.666157,-79.317863,223,976.2222222222222,217697.56,Greenwood-Coxwell (65)
11,70,2,43.666456,-79.342554,716,2095.3175675675675,750123.69,South Riverdale (70)
12,77,4,43.653676000000004,-79.353948,2576,1427.123324396783,919067.42,Waterfront Communities-The Island (77)
13,73,2,43.660651,-79.370593,801,1257.4444444444443,503606.5,Moss Park (73)
14,42,1,43.735409999999995,-79.345005,49,755.3846153846154,37013.85,Banbury-Don Mills (42)
15,100,1,43.699949,-79.397231,145,1325.4545454545455,192190.91,Yonge-Eglinton (100)
16,79,3,43.660509000000005,-79.399873,780,1131.5472972972973,294202.3,University (79)
17,78,1,43.655592999999996,-79.398761,840,1235.437908496732,1037767.84,Kensington-Chinatown (78)
18,81,2,43.651934999999995,-79.40893,408,1241.298969072165,253224.99,Trinity-Bellwoods (81)
19,94,1,43.681901,-79.423778,160,1024.0576923076924,163849.23,Wychwood (94)
20,80,3,43.662009999999995,-79.424755,380,848.797619047619,107514.37,Palmerston-Little Italy (80)
21,82,1,43.639474,-79.418952,992,1406.463157894737,1395211.45,Niagara (82)
22,84,1,43.643181,-79.42277,395,1195.7291666666667,472313.02,Little Portugal (84)
23,107,1,43.686766999999996,-79.44636,99,733.8780487804878,72653.93,Oakwood Village (107)
24,83,1,43.650086,-79.435843,257,1097.8701298701299,282152.62,Dufferin Grove (83)
25,86,2,43.641123,-79.434827,339,1383.1807228915663,234449.13,Roncesvalles (86)
26,38,1,43.765603999999996,-79.412219,48,1149.3214285714287,55167.43,Lansing-Westgate (38)
27,88,2,43.656015999999994,-79.454561,340,1109.9638554216867,188693.86,High Park North (88)
28,85,1,43.639218,-79.443304,295,1108.6901408450703,327063.59,South Parkdale (85)
29,90,2,43.675082,-79.471754,156,1763.8275862068965,137578.55,Junction Area (90)
30,31,1,43.721455,-79.467434,119,1572.5625,187134.94,Yorkdale-Glen Park (31)
