,hood_id,neighborhood,score,cluster
0,63,The Beaches (63),465570.93,2
1,93,Dovercourt-Wallace Emerson-Junction (93),212023.86,0
2,108,Briar Hill-Belgravia (108),81731.82,0
3,98,Rosedale-Moore Park (98),944045.29,1
4,95,Annex (95),761499.1,2
5,89,Runnymede-Bloor West Village (89),105552.68,0
6,55,Thorncliffe Park (55),28604.05,0
7,99,Mount Pleasant East (99),105881.15,0
8,127,Bendale (127),58773.0,0
9,69,Blake-Jones (69),101675.1,0
10,65,Greenwood-Coxwell (65),217697.56,0
11,70,South Riverdale (70),750123.69,2
12,77,Waterfront Communities-The Island (77),919067.42,1
13,73,Moss Park (73),503606.5,2
14,42,Banbury-Don Mills (42),37013.85,0
15,100,Yonge-Eglinton (100),192190.91,0
16,79,University (79),294202.3,0
17,78,Kensington-Chinatown (78),1037767.84,1
18,81,Trinity-Bellwoods (81),253224.99,0
19,94,Wychwood (94),163849.23,0
20,80,Palmerston-Little Italy (80),107514.37,0
21,82,Niagara (82),1395211.45,1
22,84,Little Portugal (84),472313.02,2
23,107,Oakwood Village (107),72653.93,0
24,83,Dufferin Grove (83),282152.62,0
25,86,Roncesvalles (86),234449.13,0
26,38,Lansing-Westgate (38),55167.43,0
27,88,High Park North (88),188693.86,0
28,85,South Parkdale (85),327063.59,0
29,90,Junction Area (90),137578.55,0
30,31,Yorkdale-Glen Park (31),187134.94,0
